Material,Material Description,Work center,Standard Value,AREA
2368169776AE,68169776AE  SET REAR ROOF LIGHT,MX_ASM01,38.34,ASSEMBLY
2368565397AB,68565397AB SET FRONT ROOF LIGHT H3,MX_ASM01,50,ASSEMBLY
23F05744700E,68232472AE  SET FRONT ROOF LIGHT H1,MX_ASM01,50,ASSEMBLY
23F05744800E,68232473AE  SET FRONT ROOF LIGHT H2,MX_ASM01,50,ASSEMBLY
230F20544000,68206450AA SIDE MARKER FRONT RH UF SEDAN,MX_ASM01,32,ASSEMBLY
230F20545000,68206449AA SIDE MARKER FRONT LH UF SEDAN,MX_ASM01,32,ASSEMBLY
230F20546000,68194896AA REAR SIDE REFLEX RH UF SEDAN,MX_ASM01,30,ASSEMBLY
230F20547000,68194897AA REAR SIDE REFLEX LH UF SEDAN,MX_ASM01,30,ASSEMBLY
2368565397AA,[Obsoleto] 68565397AA SET FRONT ROOF H3,MX_ASM01,40,ASSEMBLY
230F05744700,68232472AD  SET FRONT ROOF LIGHT H1,MX_ASM01,40,ASSEMBLY
230F05744800,68232473AD  SET FRONT ROOF LIGHT H2,MX_ASM01,40,ASSEMBLY
230F03549000,68169776AD  761137AA- SET REAR ROOF LIGH,MX_ASM01,34,ASSEMBLY
230F02249000,SIDE REPEATER GOLF  VW 370 LH,MX_ASM03,76.5,ASSEMBLY
230F02250000,SIDE REPEATER GOLF  VW 370 RH,MX_ASM03,76.5,ASSEMBLY
23F02221000C,764423 S REPEATER MAGNA XTS LH CHINA,MX_ASM03,54,ASSEMBLY
23F02222000C,764422 S REPEATER MAGNA XTS RH CHINA,MX_ASM03,54,ASSEMBLY
230F02221000,764423 SIDE REPEATER MAGNA XTS LH,MX_ASM03,54,ASSEMBLY
230F02222000,764422 SIDE REPEATER MAGNA XTS RH,MX_ASM03,54,ASSEMBLY
230F02249001,SIDE REPEATER GOLF VW 370 LH REFACCION,MX_ASM03,76.5,ASSEMBLY
230F02250001,SIDE REPEATER GOLF VW 370 RH REFACCION,MX_ASM03,76.5,ASSEMBLY
230F02249005,SIDE REPEATER GOLF VW 370 LH REFACCION,MX_ASM03,76.5,ASSEMBLY
230F02250005,SIDE REPEATER GOLF VW 370 RH REFACCION,MX_ASM03,76.5,ASSEMBLY
230F11338000,68154574AA CATAD DX POST.FIAT 500,MX_ASM05,12,ASSEMBLY
230F11339000,68154575AA CATAD SX POST.FIAT 500,MX_ASM05,12,ASSEMBLY
230F20524000,SIDE MARKER ANT.DX CHRYSLER 500,MX_ASM05,25,ASSEMBLY
230F20525000,SM ANT.SX CHRYSLER 500,MX_ASM05,25,ASSEMBLY
230F20524500,SIDE MARKER  VIPER TRASERO LH ROJO,MX_ASM05,25,ASSEMBLY
230F20525500,SIDE MARKER  VIPER TRASERO RH ROJO,MX_ASM05,25,ASSEMBLY
230F20524600,SIDE MARKER ANT.DX S/LAMP ALFA4C,MX_ASM05,25,ASSEMBLY
230F20525600,SIDE MARKER ANT.SX S/LAMP ALFA4C,MX_ASM05,25,ASSEMBLY
230F20524700,SM.VIPER DELANTERO ECE RH NARANJA,MX_ASM05,25,ASSEMBLY
230F20525700,68194269AB SM.VIPER DELANTERO ECE LH NAR,MX_ASM05,25,ASSEMBLY
230F20526000,S. M.P .DX CHRYSLER 500 USA,MX_ASM05,25,ASSEMBLY
230F20527000,S. M.P .SX CHRYSLER 500 USA,MX_ASM05,25,ASSEMBLY
230F20526500,S.M.P.DX CHRYSLER 500 ECE,MX_ASM05,25,ASSEMBLY
230F20527500,S.M.P.SX CHRYSLER 500 ECE,MX_ASM05,25,ASSEMBLY
230F20526600,S. M.P.DX ORANGE S/LAMP.ALFA4-ECE,MX_ASM05,25,ASSEMBLY
230F20527600,S. M.P.SX ORANGE S/LAMP.ALFA4-ECE,MX_ASM05,25,ASSEMBLY
230F20528000,S.M.P.DX CHRYSLER 500 USA SPORT,MX_ASM05,25,ASSEMBLY
230F20529000,S.M.P.SX CHRYSLER 500 USA SPORT,MX_ASM05,25,ASSEMBLY
230F20528500,S.M.P.DX CHRYSLER 500 ECE SPORT,MX_ASM05,25,ASSEMBLY
230F20529500,S.M.P.SX CHRYSLER 500 ECE SPORT,MX_ASM05,25,ASSEMBLY
23F20524000M,SM ANT. CHRYS.500 RH/MASERATI,MX_ASM05,25,ASSEMBLY
23F20525000M,SM ANT.SX CHRYSLER 500,MX_ASM05,25,ASSEMBLY
23F20526000M,S. M.P .DX CHRYSLER 500 USA,MX_ASM05,25,ASSEMBLY
23F20527000M,SMP CHRY.500POP/LOU.RED USA LH,MX_ASM05,25,ASSEMBLY
230F04667000,5MA21RXFAC  SET LUZ DE PLACA DUCATO,MX_ASM06,150,ASSEMBLY
237DV45RXFAD,7DV45RXFAD ADAPTOR 2/CAM H1 - 118 Gentex,MX_ASM07,450,ASSEMBLY
237DV46RXFAD,7DV46RXFAD ADAPTOR 1/CAM H2 - 136 Base,MX_ASM07,360,ASSEMBLY
237DX24RXFAC,7DX24RXFAC ADAPTOR 2 CAM - Camera 360,MX_ASM07,450,ASSEMBLY
237DX39RXFAC,7DX39RXFAC ADAPTOR 1 CAM - Camera 360,MX_ASM07,360,ASSEMBLY
237EG24RXFAD,7EG24RXFAD ADAPTOR 2/CAM H2 - 136 Gentex,MX_ASM07,450,ASSEMBLY
237EG32RXFAD,7EG32RXFAD ADAPTOR 1/CAM H2 - 159 Base,MX_ASM07,360,ASSEMBLY
237EG33RXFAD,7EG33RXFAD ADAPTOR 1/CAM H1 - 118 Base,MX_ASM07,360,ASSEMBLY
237EH47RXFAD,7EH47RXFAD ADAPTOR 2/CAM H2 - 159 Gentex,MX_ASM07,450,ASSEMBLY
237KM71RXFAC,7KM71RXFAC ADAPTOR 1/CAM H3,MX_ASM07,360,ASSEMBLY
237KP79RXFAC,7KP79RXFAC ADAPTOR 2/CAM H3,MX_ASM07,450,ASSEMBLY
230F03545700,6RZ03RXFAB CONJUNTO ADAPT VERNAFTA C/CAM,MX_ASM07,480,ASSEMBLY
230F03545800,6RZ04RXFAB CONJUNTO ADAPT VERNAFTA C/CAM,MX_ASM07,480,ASSEMBLY
230F03545900,7AA00RXFAA - VF PR BACKUP CAMERA LOW H1,MX_ASM07,480,ASSEMBLY
230F03545950,7AA01RXFAA - VF PR BACKUP CAMERA HIGH H2,MX_ASM07,480,ASSEMBLY
237DV45RXFAA,[Obsoleto] 7DV45RXFAA Bezel h1 wdrvm wdy,MX_ASM07,480,ASSEMBLY
237DV45RXFAB,[Obsoleto] 7DV45RXFAB  2 CAM H1 - 118,MX_ASM07,600,ASSEMBLY
237DV45RXFAC,[Obsoleto] 7DV45RXFAC  2 CAM H1 - 118,MX_ASM07,450,ASSEMBLY
237DV46RXFAA,[Obsoleto] 7DV46RXFAA 1 CAM H2 - 136,MX_ASM07,480,ASSEMBLY
237DV46RXFAB,[Obsoleto] 7DV46RXFAB 1 CAM H2 - 136,MX_ASM07,480,ASSEMBLY
237DV46RXFAC,[Obsoleto] 7DV46RXFAC 1 CAM H2 - 136,MX_ASM07,360,ASSEMBLY
237DX24RXFAA,[Obsoleto] 7DX24RXFAA Bezel drvm and 360,MX_ASM07,480,ASSEMBLY
237DX24RXFAB,[Obsoleto] 7DX24RXFAB 2CAM 360 -Cam360,MX_ASM07,450,ASSEMBLY
237DX39RXFAA,[Obsoleto] 7DX39RXFAA Bezel w 360 camera,MX_ASM07,480,ASSEMBLY
237DX39RXFAB,[Obsoleto] 7DX39RXFAB  1 CAM -Camera 360,MX_ASM07,360,ASSEMBLY
237EG24RXFAA,[Obsoleto] 7EG24RXFAA 2 CAM H2 - 136,MX_ASM07,480,ASSEMBLY
237EG24RXFAB,[Obsoleto] 7EG24RXFAB 2 CAM H2 - 136,MX_ASM07,600,ASSEMBLY
237EG24RXFAC,[Obsoleto] 7EG24RXFAC  2/CAM H2 - 136,MX_ASM07,450,ASSEMBLY
237EG32RXFAA,[Obsoleto] 7EG32RXFAA  1 CAM H2 - 159,MX_ASM07,480,ASSEMBLY
237EG32RXFAB,[Obsoleto] 7EG32RXFAB  1 CAM H2 - 159,MX_ASM07,480,ASSEMBLY
237EG32RXFAC,[Obsoleto] 7EG32RXFAC 1/CAM H2 -159 Base,MX_ASM07,360,ASSEMBLY
237EG33RXFAA,[Obsoleto] 7EG33RXFAA 1 CAM H1 - 118,MX_ASM07,480,ASSEMBLY
237EG33RXFAB,[Obsoleto] 7EG33RXFAB 1 CAM H1 - 118,MX_ASM07,480,ASSEMBLY
237EG33RXFAC,[Obsoleto] 7EG33RXFAC 1/CAM H1 - 118 Bas,MX_ASM07,360,ASSEMBLY
237EH47RXFAA,[Obsoleto] 7EH47RXFAA 2 CAM H2 - 159,MX_ASM07,480,ASSEMBLY
237EH47RXFAB,[Obsoleto] 7EH47RXFAB 2 CAM H2 - 159,MX_ASM07,600,ASSEMBLY
237EH47RXFAC,[Obsoleto] 7EH47RXFAC 2/CAM H2 - 159,MX_ASM07,450,ASSEMBLY
237KM71RXFAA,[Obsoleto] 7KM71RXFAA ADAPTOR 1/CAM H3,MX_ASM07,450,ASSEMBLY
237KM71RXFAB,[Obsoleto] 7KM71RXFAB ADAPTOR 1/CAM H3,MX_ASM07,360,ASSEMBLY
237KP79RXFAA,[Obsoleto] 7KP79RXFAA ADAPTOR 2/CAM H3,MX_ASM07,562.5,ASSEMBLY
237KP79RXFAB,[Obsoleto] 7KP79RXFAB  2/CAM H3,MX_ASM07,450,ASSEMBLY
230F05751000,TRIM BEZEL  VW 411 LH,MX_ASM09,75,ASSEMBLY
230F05752000,TRIM BEZEL  VW 411 RH,MX_ASM09,75,ASSEMBLY
230F11377000,33555-TBAA-A010-M1 REAR R HONDA CIVIC LH,MX_ASM09,24,ASSEMBLY
230F11378000,33505-TBAA-A010-M1 REAR R HONDA CIVIC RH,MX_ASM09,24,ASSEMBLY
230F20559000,FRONT SIDE MARKER CIVIC LH,MX_ASM09,42,ASSEMBLY
230F20560000,FRONT SIDE MARKER CIVIC RH,MX_ASM09,42,ASSEMBLY
230F05751001,TRIM BEZEL  VW 411 LH REFACCION,MX_ASM09,75,ASSEMBLY
230F05752001,TRIM BEZEL  VW 411 RH REFACCION,MX_ASM09,75,ASSEMBLY
230F20559001,33850-TBA-A02  FRONT S MARKER LH REFAC,MX_ASM09,36,ASSEMBLY
230F20560001,33800-TBA-A02 KER FRONT S MARKER RH REFA,MX_ASM09,36,ASSEMBLY
230F11377001,33555-TBA-A01 REAR R HONDA CIVIC LH REFA,MX_ASM09,24,ASSEMBLY
230F11378001,33505-TBA-A01 REAR R HONDA CIVIC RH REFA,MX_ASM09,24,ASSEMBLY
230F03629001,5GM945095C TLAMP VW372 LH T1 ECE BAS REF,MX_ASM10,448,ASSEMBLY
230F03629501,5GM945095E TLAMP VW372 LH T1 SAE REF,MX_ASM10,448,ASSEMBLY
230F03629601,5GM945095D TLAMP VW372 LH T1ECE DARK REF,MX_ASM10,448,ASSEMBLY
230F03630001,5GM945096C TLAMP VW372 RH T1 ECE BAS REF,MX_ASM10,448,ASSEMBLY
230F03630501,5GM945096E TLAMP VW372 RH T1 SAE REF,MX_ASM10,448,ASSEMBLY
230F03630601,5GM945096D TLAMP VW372 RH T1ECE DARK REF,MX_ASM10,448,ASSEMBLY
230F03631501,5GM945093E TLAMP VW372 LH T2 SAE REF,MX_ASM10,448,ASSEMBLY
230F03631701,5GM945093H TL VW372 LH T2 ECE DARK REF,MX_ASM10,448,ASSEMBLY
230F03631801,5GM945093G TL VW372 LH T2 ECE BASE REF,MX_ASM10,448,ASSEMBLY
230F03632601,5GM945094D TLAMP VW372 RH T2 SAE REF,MX_ASM10,448,ASSEMBLY
230F03632701,5GM945094H TL VW372 RH T2 ECE DARK REF,MX_ASM10,448,ASSEMBLY
230F03632801,5GM945094G TL VW372 RH T2 ECE BASE REF,MX_ASM10,448,ASSEMBLY
230F03667501,TAIL LIGHT LH VW416 HIGH T1 SAE REF,MX_ASM11,420,ASSEMBLY
230F03668501,TAIL LIGHT RH VW416 HIGH T1 SAE REF,MX_ASM11,420,ASSEMBLY
230F03671001,TAIL LIGHT LH VW416 LOW T1 ECE REF,MX_ASM11,420,ASSEMBLY
230F03672001,TAIL LIGHT RH VW416 LOW T1 ECE REF,MX_ASM11,420,ASSEMBLY
230F03671501,TAIL LIGHT LH VW416 LOW T1 SAE REF,MX_ASM11,420,ASSEMBLY
230F03672501,TAIL LIGHT RH VW416 LOW T1 SAE REF,MX_ASM11,420,ASSEMBLY
230F03669501,TAIL LIGHT LH VW416 HIGH T2 SAE REF,MX_ASM12,360,ASSEMBLY
230F03670501,TAIL LIGHT RH VW416 HIGH T2 SAE REF,MX_ASM12,360,ASSEMBLY
230F03673001,TAIL LIGHT LH VW416 LOW T2 ECE REF,MX_ASM12,360,ASSEMBLY
230F03674001,TAIL LIGHT RH VW416 LOW T2 ECE REF,MX_ASM12,360,ASSEMBLY
230F03673501,TAIL LIGHT LH VW416 LOW T2 SAE REF,MX_ASM12,360,ASSEMBLY
230F03674501,TAIL LIGHT RH VW416 LOW T2 SAE REF,MX_ASM12,360,ASSEMBLY
230F03660000,265505NS0A RLAMP RH NISSAN P71A T1 ECE,MX_ASM13,468,ASSEMBLY
230F03661000,265555NS0A RLAMP LH NISSAN P71A T1 ECE,MX_ASM13,468,ASSEMBLY
230F03660300,26550 9CM0B RL RH T1 ECE CCC BLACK P71A,MX_ASM13,540,ASSEMBLY
230F03661300,26555 9CM0B RL LH T1 ECE CCC BLACK P71A,MX_ASM13,540,ASSEMBLY
230F03660500,265505NA0A RLAMP RH NISSAN P71A T1 SAE,MX_ASM13,468,ASSEMBLY
230F03661500,265555NA0A RLAMP LH NISSAN P71A T1 SAE,MX_ASM13,468,ASSEMBLY
230F03660600,265505NN0A RLAMP RH NISSAN P71A T1 PRC,MX_ASM13,468,ASSEMBLY
230F03661600,265555NN0A RLAMP LH NISSAN P71A T1 PRC,MX_ASM13,468,ASSEMBLY
230F03660700,26550 9CM0A RLAMP RH T1 SAE BLACK P71A,MX_ASM13,468,ASSEMBLY
230F03661700,26555 9CM0A RLAMP LH T1 SAE BLACK P71A,MX_ASM13,540,ASSEMBLY
230F03662000,265505NS1A RLAMP RH NISSAN P71A T2 ECE,MX_ASM13,385,ASSEMBLY
230F03663000,265555NS1A RLAMP LH NISSAN P71A T2 ECE,MX_ASM13,385,ASSEMBLY
230F03662300,26550 9CM1B RL RH T2 ECE CCC BLACK P71A,MX_ASM13,385,ASSEMBLY
230F03663300,26555 9CM1B RL LH T2 ECE CCC BLACK P71A,MX_ASM13,385,ASSEMBLY
230F03662500,265505NA1A RLAMP RH NISSAN P71A T2 SAE,MX_ASM13,385,ASSEMBLY
230F03663500,265555NA1A RLAMP LH NISSAN P71A T2 SAE,MX_ASM13,385,ASSEMBLY
230F03662600,265505NN1A RLAMP RH NISSAN P71A T2 PRC,MX_ASM13,385,ASSEMBLY
230F03663600,265555NN1A RLAMP LH NISSAN P71A T2 PRC,MX_ASM13,385,ASSEMBLY
230F03662700,26550 9CM1A RLAMP RH T2 SAE BLACK P71A,MX_ASM13,385,ASSEMBLY
230F03663700,26555 9CM1A RLAMP LH T2 SAE BLACK P71A,MX_ASM13,385,ASSEMBLY
230F03824000,26550 5VJ0A REAR LAMP N71A T1 RH ECE,MX_ASM13,504,ASSEMBLY
230F03825000,26555 5VJ0A REAR LAMP N71A T1 LH ECE,MX_ASM13,504,ASSEMBLY
230F03824500,26550 5VG0A REAR LAMP N71A T1 RH SAE,MX_ASM13,504,ASSEMBLY
230F03825500,26555 5VG0A REAR LAMP N71A T1 LH SAE,MX_ASM13,504,ASSEMBLY
230F03826500,26550 5VG1A REAR LAMP N71A T2 RH SAE/ECE,MX_ASM13,385,ASSEMBLY
230F03827500,26555 5VG1A REAR LAMP N71A T2 LH SAE/ECE,MX_ASM13,385,ASSEMBLY
230S03660025,SUBASSY WELDED  - T1 RH ECE P71A,MX_ASM13,288,ASSEMBLY
230S03660325,SUBASSY WELDED  - T1 RH ECE Black P71A,MX_ASM13,288,ASSEMBLY
230S03660525,SUBASSY WELDED  - T1 RH SAE P71A,MX_ASM13,288,ASSEMBLY
230S03660625,SUBASSY WELDED  - T1 RH PRC P71A,MX_ASM13,288,ASSEMBLY
230S03660725,SUBASSY WELDED  - T1 RH SAE Black P71A,MX_ASM13,288,ASSEMBLY
230S03661025,SUBASSY WELDED  - T1 LH ECE P71A,MX_ASM13,288,ASSEMBLY
230S03661325,SUBASSY WELDED  - T1 LH ECE Black P71A,MX_ASM13,288,ASSEMBLY
230S03661525,SUBASSY WELDED  - T1 LH SAE P71A,MX_ASM13,288,ASSEMBLY
230S03661625,SUBASSY WELDED  - T1 LH PRC P71A,MX_ASM13,288,ASSEMBLY
230S03661725,SUBASSY WELDED  - T1 LH SAE Black P71A,MX_ASM13,288,ASSEMBLY
230S03662025,SUBASSY WELDED  - T2 RH ECE P71A,MX_ASM13,216,ASSEMBLY
230S03662325,SUBASSY WELDED  - T2 RH ECE Black P71A,MX_ASM13,216,ASSEMBLY
230S03662525,SUBASSY WELDED  - T2 RH SAE P71A,MX_ASM13,216,ASSEMBLY
230S03662625,SUBASSY WELDED  - T2 RH PRC P71A,MX_ASM13,216,ASSEMBLY
230S03662725,SUBASSY WELDED  - T2 RH SAE Black P71A,MX_ASM13,216,ASSEMBLY
230S03663025,SUBASSY WELDED  - T2 LH ECE P71A,MX_ASM13,216,ASSEMBLY
230S03663325,SUBASSY WELDED  - T2 LH ECE Black P71A,MX_ASM13,216,ASSEMBLY
230S03663525,SUBASSY WELDED  - T2 LH SAE P71A,MX_ASM13,216,ASSEMBLY
230S03663625,SUBASSY WELDED  - T2 LH PRC P71A,MX_ASM13,216,ASSEMBLY
230S03663725,SUBASSY WELDED  - T2 LH SAE Black P71A,MX_ASM13,216,ASSEMBLY
230S03824000,SUBASSY WELDED  - T1 RH ECE N71A,MX_ASM13,451,ASSEMBLY
230S03824500,SUBASSY WELDED  - T1 RH SAE N71A,MX_ASM13,451,ASSEMBLY
230S03825000,SUBASSY WELDED  - T1 LH ECE N71A,MX_ASM13,451,ASSEMBLY
230S03825500,SUBASSY WELDED  - T1 LH SAE N71A,MX_ASM13,451,ASSEMBLY
230S03826500,SUBASSY WELDED  - T2 RH N71A,MX_ASM13,216,ASSEMBLY
230S03827500,SUBASSY WELDED  - T2 LH N71A,MX_ASM13,216,ASSEMBLY
230F03757900,561945076N SET R LAMP VW411T2 W/ FOG ECE,MX_ASM14,0,ASSEMBLY
230F03757901,561945076M SET R LAMP VW411T2 NO FOG SAE,MX_ASM14,0,ASSEMBLY
230F03757000,TAIL LIGHT LH VW411 T2,MX_ASM14,432,ASSEMBLY
230F03757500,TAIL LIGHT LH VW411 T2 (W/FOG),MX_ASM14,432,ASSEMBLY
230F03758000,TAIL LIGHT RH VW411 T2,MX_ASM14,432,ASSEMBLY
230S03757025,SUBASSY WELDED  - T2 LH VW411 NO FOG,MX_ASM14,216,ASSEMBLY
230S03757525,SUBASSY WELDED  - T2 LH VW411 FOG,MX_ASM14,216,ASSEMBLY
230S03758025,SUBASSY WELDED  - T2 RH VW411,MX_ASM14,216,ASSEMBLY
230F03755900,561.945.075.R SET REAR LAMP T1 VW411,MX_ASM15,0,ASSEMBLY
230F03755000,TAIL LIGHT LH VW411 T1,MX_ASM15,504,ASSEMBLY
230F03756000,TAIL LIGHT RH VW411 T1,MX_ASM15,504,ASSEMBLY
230S03755025,SUBASSY WELDED  - T1 LH VW411,MX_ASM15,288,ASSEMBLY
230S03756025,SUBASSY WELDED  - T1 RH VW411,MX_ASM15,288,ASSEMBLY
230F03784900,3CN945075D KIT REAR LAMP T1 416 FACELIFT,MX_ASM16,0,ASSEMBLY
23F03784900E,3CN.945.075E SET R 416 FL T1 Painted Bar,MX_ASM16,0,ASSEMBLY
23F03784900G,3CN.945.075G SET RL 416 FL T1 R-LINE,MX_ASM16,0,ASSEMBLY
23F03784900H,3CN.945.075H SET 416 FL T1 R-LINE Painte,MX_ASM16,0,ASSEMBLY
23F03784900J,3CN.945.075J SET TL 416 FL T1 Chrome Bar,MX_ASM16,480,ASSEMBLY
23F03784900K,3CN.945.075K SET R 416 FL T1 Painted Bar,MX_ASM16,480,ASSEMBLY
23F03784900L,3CN.945.075L SET TL CHROMED BAR,MX_ASM16,0,ASSEMBLY
23F03784900M,3CN.945.075M SET TL CHROMED R/LINE,MX_ASM16,0,ASSEMBLY
23F03784900N,3CN.945.075N SET TL PAINTED BAR,MX_ASM16,0,ASSEMBLY
23F03784900P,3CN.945.075P SET TL PAINTED BAR R/LINE,MX_ASM16,0,ASSEMBLY
230F03784000,[SERVICIO] T LIGHT RH VW416 FACELIFT T1,MX_ASM16,455,ASSEMBLY
23F03784000E,3CN.945.096E RLAMP RH 416 FL T1 R-LINE,MX_ASM16,455,ASSEMBLY
23F03784000F,3CN.945.096F RL RH 416 FL T1 Paint  SERV,MX_ASM16,455,ASSEMBLY
23F03784000G,3CN.945.096G RL RH 416 FL T1 R-LINE Pain,MX_ASM16,455,ASSEMBLY
23F03784000H,3CN.945.096H RL RH 416 FL T1 Chrome Bar,MX_ASM16,455,ASSEMBLY
23F03784000J,3CN.945.096J RL RH 416 FL T1 Painted Bar,MX_ASM16,455,ASSEMBLY
23F03784000K,3CN.945.096K TLAMP RH CHROMED BAR,MX_ASM16,455,ASSEMBLY
23F03784000L,3CN.945.096L TLAMP RH CHROMED R/LINE,MX_ASM16,455,ASSEMBLY
23F03784000M,3CN.945.096M TLAMP RH PAINTED BAR,MX_ASM16,455,ASSEMBLY
23F03784000N,3CN.945.096N TLAMP RH PAINTED BAR R/LINE,MX_ASM16,455,ASSEMBLY
230F03785000,[SERVICIO] T LIGHT LH VW416 FACELIFT T1,MX_ASM16,455,ASSEMBLY
23F03785000E,3CN.945.095E RLAMP LH 416 FL T1 R-LINE,MX_ASM16,455,ASSEMBLY
23F03785000F,3CN.945.095F RL LH 416 FL T1 Paint  SERV,MX_ASM16,455,ASSEMBLY
23F03785000G,3CN.945.095G RL LH 416 FL T1 R-LINE Pain,MX_ASM16,455,ASSEMBLY
23F03785000H,3CN.945.095H RL LH 416 FL T1 Chrome Bar,MX_ASM16,455,ASSEMBLY
23F03785000J,3CN.945.095J RL LH 416 FL T1 Painted Bar,MX_ASM16,455,ASSEMBLY
23F03785000K,3CN.945.095K TLAMP LH CHROME BAR,MX_ASM16,455,ASSEMBLY
23F03785000L,3CN.945.095L TLAMP LH CHROMED R/LINE,MX_ASM16,455,ASSEMBLY
23F03785000M,3CN.945.095M TLAMP LH PAINTED BAR,MX_ASM16,455,ASSEMBLY
23F03785000N,3CN.945.095N TLAMP LH PAINTED BAR R/LINE,MX_ASM16,455,ASSEMBLY
23F03788900A,3CM.945.275A SET RLAMP 416C T1,MX_ASM16,0,ASSEMBLY
23F03788900B,3CM.945.275B SET REAR LAMP VW416COUPE T1,MX_ASM16,0,ASSEMBLY
23F03788900C,3CM.945.275C SET RL 416 COUPE T1 Painted,MX_ASM16,0,ASSEMBLY
23F03788900D,3CM.945.275D SET RL 416 COUPE T1 R-LINE,MX_ASM16,0,ASSEMBLY
23F03788900E,3CM.945.275E SET 416 COUPE T1 R-LINE Pai,MX_ASM16,0,ASSEMBLY
230F03788000,3CM.945.208B T LIGHT RH VW416 COUPE T1,MX_ASM16,455,ASSEMBLY
23F03788000C,3CM.945.208C RL RH 416 COUPE T1 Painted,MX_ASM16,455,ASSEMBLY
23F03788000D,3CM.945.208D RL RH 416 COUPE T1 R-LINE,MX_ASM16,455,ASSEMBLY
23F03788000E,3CM.945.208E RL RH 416 COUPE T1 R-LINE P,MX_ASM16,455,ASSEMBLY
230F03789000,3CM.945.207B T LIGHT LH VW416 COUPE T1,MX_ASM16,455,ASSEMBLY
23F03789000C,3CM.945.207C RL LH 416 COUPE T1 Painted,MX_ASM16,455,ASSEMBLY
23F03789000D,3CM.945.207D RL LH 416 COUPE T1 R-LINE,MX_ASM16,455,ASSEMBLY
23F03789000E,3CM.945.207E RL LH 416 COUPE T1 R-LINE P,MX_ASM16,455,ASSEMBLY
230S03784025,SUBASSY WELDED  - T1 RH VW416 FL,MX_ASM16,270,ASSEMBLY
230S03785025,SUBASSY WELDED  - T1 LH VW416 FL,MX_ASM16,270,ASSEMBLY
230S03788025,SUBASSY WELDED  - T1 RH VW416 COUPE,MX_ASM16,270,ASSEMBLY
230S03789025,SUBASSY WELDED  - T1 LH VW416 COUPE,MX_ASM16,270,ASSEMBLY
230F03790900,3CM.945.276 SET REAR LAMP VW416 COUPE T2,MX_ASM17,0,ASSEMBLY
230F03790000,TAIL LIGHT RH VW416 COUPE T2,MX_ASM17,315,ASSEMBLY
230F03791000,TAIL LIGHT LH VW416 COUPE T2,MX_ASM17,315,ASSEMBLY
230F03786900,3CN945076D KIT RL VW416 FL T2 NO-FOG SAE,MX_ASM17,0,ASSEMBLY
230F03786950,3CN945076E KIT RL VW416 FL T2 W/FOG ECE,MX_ASM17,0,ASSEMBLY
230F03786000,TAIL LIGHT RH VW416 FACELIFT T2 SAE/ECE,MX_ASM17,315,ASSEMBLY
230F03787000,TAIL LIGHT LH VW416 FACELIFT T2 SAE,MX_ASM17,315,ASSEMBLY
