Dep,Work center,Material,QTY,Standard Earned Hours,131,132,551,552
INJECTION,MX_INY06,23003837010F,1046.0,10.85,1131.0,0,-85.0,0
INJECTION,MX_INY23,23003837020D,223.0,1.95,264.0,0,-41.0,0
MET,MX-MET02,23003837031D,416.0,4.46,443.0,0,-27.0,0
,,23003837080D,-16.0,0.0,0,0,-16.0,0
,,23003837090A,-13.0,0.0,0,0,-13.0,0
INJECTION,MX_INY06,23003838010F,951.0,9.87,1046.0,0,-95.0,0
INJECTION,MX_INY23,23003838020D,181.0,1.58,270.0,0,-89.0,0
,,23003838080D,-60.0,0.0,0,0,-60.0,0
,,23003838090A,-60.0,0.0,0,0,-60.0,0
INJECTION,MX_INY25,23003907020A,352.0,6.23,422.0,0,-70.0,0
INJECTION,MX_INY19,23003784020A,686.0,8.58,753.0,0,-67.0,0
INJECTION,MX_INY25,23003906020A,360.0,6.38,437.0,0,-77.0,0
MET,MX-MET02,23003838031D,524.0,5.61,544.0,0,-20.0,0
,MX-MET04,2300250407AD,125.0,8.93,145.0,0,-20.0,0
,MX-MET04,2300520543AD,324.0,21.7,325.0,0,-1.0,0
INJECTION,MX_INY20,23003838030D,841.0,6.75,848.0,0,-7.0,0
ASSEMBLY,MX_ASM16,230F03789000,76.0,14.41,76.0,0,0,0
ASSEMBLY,MX_ASM16,23F03788900B,76.0,0.0,76.0,0,0,0
ASSEMBLY,MX_ASM16,230F03788000,76.0,14.41,76.0,0,0,0
INJECTION,MX_INY07,23003785040C,1169.0,11.69,1178.0,0,-9.0,0
,MX-MET04,23003785031B,650.0,11.61,677.0,0,-27.0,0
MET,MX-MET03,23003785051A,1042.0,2.48,1043.0,0,-1.0,0
INJECTION,MX_INY13,23003631052C,365.0,0.87,375.0,0,-10.0,0
MET,MX-MET03,23003784051A,1034.0,2.46,1036.0,0,-2.0,0
,MX-MET04,23003784031B,642.0,11.46,674.0,0,-32.0,0
INJECTION,MX_INY19,23003785020A,724.0,9.05,763.0,0,-39.0,0
INJECTION,MX_INY20,23003837030D,847.0,6.79,855.0,0,-8.0,0
MET,MX-MET03,23003837041C,778.0,6.95,780.0,0,-2.0,0
MET,MX-MET03,23003838041C,981.0,8.76,986.0,0,-5.0,0
INJECTION,MX_INY30,2300500541AE,909.0,19.85,911.0,0,-2.0,0
INJECTION,MX_INY01,23003838040C,945.0,6.3,946.0,0,-1.0,0
INJECTION,MX_INY01,23003837040C,945.0,6.3,946.0,0,-1.0,0
ASSEMBLY,MX_ASM21,233CN945093R,240.0,120.0,257.0,-17.0,0,0
ASSEMBLY,MX_ASM19,23F03837000D,817.0,65.17,956.0,-139.0,0,0
MET,MX_INY30,230A300843AB,545.0,6.47,557.0,0,-12.0,0
ASSEMBLY,MX_ASM19,23F03838000D,387.0,30.87,408.0,-21.0,0,0
INJECTION,MX_INY17,23003630030C,166.0,1.45,167.0,0,-1.0,0
INJECTION,MX_INY17,23003629030C,170.0,1.49,171.0,0,-1.0,0
INJECTION,MX_INY24,2300800406AE,170.0,2.13,194.0,0,-24.0,0
INJECTION,MX_INY13,23003632052C,658.0,1.58,666.0,0,-8.0,0
ASSEMBLY,MX_ASM20,23F03908000A,232.0,81.68,232.0,0,0,0
MET,MX_INY30,230A300844AB,510.0,6.06,543.0,0,-33.0,0
INJECTION,MX_INY29,23003784030B,438.0,5.26,659.0,0,-221.0,0
INJECTION,MX_INY29,23003785030B,705.0,8.46,819.0,0,-114.0,0
INJECTION,MX_INY24,2300800405AE,168.0,2.11,188.0,0,-20.0,0
INJECTION,MX_INY07,23003784040C,1165.0,11.65,1179.0,0,-14.0,0
INJECTION,MX_INY22,23003789030C,0.0,0.0,8.0,0,-8.0,0
ASSEMBLY,MX_ASM16,23F03785000H,174.0,32.99,174.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784000H,177.0,33.56,177.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784900J,175.0,35.0,175.0,0,0,0
MET,MX_INY31,2300300775AE,5.0,0.16,21.0,0,-16.0,0
INJECTION,MX_INY27,2300400791AB,540.0,18.83,586.0,0,-46.0,0
INJECTION,MX_INY12,23005744020A,4613.0,8.34,4732.0,0,-119.0,0
,,23003907111B,-2.0,0.0,0,0,-2.0,0
INJECTION,MX_INY28,23003908020B,-9.0,-0.26,0,0,-9.0,0
,,23003908121B,-1.0,0.0,0,0,-1.0,0
,,23003908131B,-2.0,0.0,0,0,-2.0,0
,,23003908220B,-8.0,0.0,0,0,-8.0,0
,,23003908230B,-8.0,0.0,0,0,-8.0,0
MET,MX_INY30,23003908600A,-8.0,-0.21,0,0,-8.0,0
,,2.30047E+11,-8.0,0.0,0,0,-8.0,0
,,2.3007E+11,-24.0,0.0,0,0,-24.0,0
MET,MX_INY31,2300300773AE,404.0,12.62,449.0,0,-45.0,0
ASSEMBLY,MX_ASM16,23F03788000D,1.0,0.19,1.0,0,0,0
ASSEMBLY,MX_ASM16,23F03788900D,1.0,0.0,1.0,0,0,0
ASSEMBLY,MX_ASMRF,230F03791001,1.0,0.1,1.0,0,0,0
INJECTION,MX_INY29,2300200407AD,0.0,0.0,6.0,0,-6.0,0
INJECTION,MX_INY24,2300800403AD,691.0,8.21,699.0,0,-8.0,0
INJECTION,MX_INY24,2300800404AD,690.0,8.19,700.0,0,-10.0,0
ASSEMBLY,MX_ASM21,233CN945093N,93.0,46.5,95.0,-2.0,0,0
ASSEMBLY,MX_ASM16,23F03785000J,304.0,57.63,304.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784900K,302.0,60.4,302.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784000J,304.0,57.63,304.0,0,0,0
,MX-MET06,23003908061C,220.0,10.31,221.0,0,-1.0,0
,MX-MET06,23003908051C,281.0,13.17,282.0,0,-1.0,0
ASSEMBLY,MX_ASM16,23F03785000E,83.0,15.74,83.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784900G,83.0,0.0,83.0,0,0,0
ASSEMBLY,MX_ASM16,23F03784000E,83.0,15.74,83.0,0,0,0
ASSEMBLY,MX_ASM20,23F03908500A,48.0,16.9,48.0,0,0,0
,MX-MET04,2300520541AE,267.0,17.88,268.0,0,-1.0,0
,,2300053033AA,-16.0,0.0,0,0,-16.0,0
INJECTION,MX_INY27,2300400793AC,-16.0,-0.5,0,0,-16.0,0
,MX-MET06,2.30004E+11,-41.0,-0.97,0,0,-41.0,0
,,23003823080B,-1.0,0.0,0,0,-1.0,0
INJECTION,MX_INY28,23003908025B,-2.0,-0.06,0,0,-2.0,0
INJECTION,MX_INY28,23003908030B,268.0,3.35,296.0,0,-28.0,0
,,2300023035AE,-2.0,0.0,0,0,-2.0,0
,,2300035175AD,-2.0,0.0,0,0,-2.0,0
INJECTION,MX_INY13,23003784070B,370.0,1.83,382.0,0,-12.0,0
INJECTION,MX_INY13,23003785070B,374.0,1.85,382.0,0,-8.0,0
INJECTION,MX_INY03,23003785080A,-1.0,-0.01,0,0,-1.0,0
,,23003785300G,-6.0,0.0,0,0,-6.0,0
,,2.30038E+11,-5.0,0.0,0,0,-5.0,0
ASSEMBLY,MX_ASM13,230F03660300,9.0,2.02,9.0,0,0,0
ASSEMBLY,MX_ASM13,230F03661300,49.0,11.02,49.0,0,0,0
INJECTION,MX_INY05,23003660010I,-27.0,-0.31,0,0,-27.0,0
INJECTION,MX_INY19,23003660020A,-13.0,-0.16,0,0,-13.0,0
MET,MX-MET03,23003660031E,-7.0,-0.09,0,0,-7.0,0
INJECTION,MX_INY05,23003660040L,-22.0,-0.24,0,0,-22.0,0
MET,MX-MET02,23003660041L,-6.0,-0.11,0,0,-6.0,0
INJECTION,MX_INY07,23003660050C,-24.0,-0.23,0,0,-24.0,0
INJECTION,MX_INY05,23003661010I,-24.0,-0.27,0,0,-24.0,0
INJECTION,MX_INY19,23003661020A,-24.0,-0.3,0,0,-24.0,0
MET,MX-MET03,23003661031E,-4.0,-0.05,0,0,-4.0,0
INJECTION,MX_INY05,23003661040L,-26.0,-0.28,0,0,-26.0,0
INJECTION,MX_INY07,23003661050C,-27.0,-0.25,0,0,-27.0,0
INJECTION,MX_INY21,23003825020B,-3.0,-0.06,0,0,-3.0,0
INJECTION,MX_INY21,23003825050E,-3.0,-0.04,0,0,-3.0,0
MET,MX-MET03,23003788061D,20.0,0.18,20.0,0,0,0
INJECTION,MX_INY28,23003908040B,316.0,3.95,346.0,0,-30.0,0
ASSEMBLY,MX_ASM13,230F03660500,42.0,8.19,42.0,0,0,0
ASSEMBLY,MX_ASM13,230F03661500,44.0,8.58,44.0,0,0,0
ASSEMBLY,MX_ASM13,230F03662700,337.0,54.06,337.0,0,0,0
ASSEMBLY,MX_ASM13,230F03663700,335.0,53.74,335.0,0,0,0
INJECTION,MX_INY29,2300200405AD,108.0,3.53,131.0,0,-23.0,0
INJECTION,MX_INY18,23003826020C,0.0,0.0,8.0,0,-8.0,0
INJECTION,MX_INY18,2300800401AA,450.0,6.56,463.0,0,-13.0,0
INJECTION,MX_INY12,23003660060B,-5.0,-0.03,0,0,-5.0,0
INJECTION,MX_INY10,23003660070B,-5.0,-0.05,0,0,-5.0,0
,,23003660121A,-5.0,0.0,0,0,-5.0,0
INJECTION,MX_INY12,23003661060B,-3.0,-0.02,0,0,-3.0,0
INJECTION,MX_INY10,23003661070B,-3.0,-0.03,0,0,-3.0,0
,,23003661121A,-3.0,0.0,0,0,-3.0,0
INJECTION,MX_INY17,23003662010H,-8.0,-0.09,0,0,-8.0,0
INJECTION,MX_INY03,23003662040E,-7.0,-0.09,0,0,-7.0,0
INJECTION,MX_INY15,23003662050B,-7.0,-0.04,0,0,-7.0,0
INJECTION,MX_INY17,23003663010H,-8.0,-0.09,0,0,-8.0,0
INJECTION,MX_INY03,23003663040E,-14.0,-0.18,0,0,-14.0,0
INJECTION,MX_INY15,23003663050B,-11.0,-0.06,0,0,-11.0,0
MET,MX-MET02,23003661041L,-3.0,-0.05,0,0,-3.0,0
INJECTION,MX_INY07,23003788040D,-1.0,-0.01,0,0,-1.0,0
INJECTION,MX_INY03,23003784080A,-1.0,-0.01,0,0,-1.0,0
,,23003785111B,-2.0,0.0,0,0,-2.0,0
,,23003785140B,-1.0,0.0,0,0,-1.0,0
,,23003784350G,-4.0,0.0,0,0,-4.0,0
INJECTION,MX_INY18,2300800401AC,242.0,3.53,277.0,0,-35.0,0
